v1	I(D1)
1.360000000000001e+000	1.121068e-001
1.370000000000001e+000	1.129318e-001
1.380000000000001e+000	1.137568e-001
1.390000000000001e+000	1.145818e-001
1.400000000000001e+000	1.154068e-001
1.410000000000001e+000	1.162318e-001
1.420000000000001e+000	1.170568e-001
1.430000000000001e+000	1.178817e-001
1.440000000000001e+000	1.187067e-001
1.450000000000001e+000	1.195317e-001
1.460000000000001e+000	1.203567e-001
1.470000000000001e+000	1.211817e-001
1.480000000000001e+000	1.220067e-001
1.490000000000001e+000	1.228317e-001
1.500000000000001e+000	1.236567e-001
1.510000000000001e+000	1.244816e-001
1.520000000000001e+000	1.253066e-001
1.530000000000001e+000	1.261316e-001
1.540000000000001e+000	1.269566e-001
1.550000000000001e+000	1.277816e-001
1.560000000000001e+000	1.279770e-001
1.570000000000001e+000	1.279770e-001
1.580000000000001e+000	1.279771e-001
1.590000000000001e+000	1.279771e-001
1.600000000000001e+000	1.279771e-001
1.610000000000001e+000	1.279771e-001
1.620000000000001e+000	1.279771e-001
1.630000000000001e+000	1.279771e-001
1.640000000000001e+000	1.279771e-001
1.650000000000001e+000	1.279771e-001
1.660000000000001e+000	1.279771e-001
1.670000000000001e+000	1.279771e-001
1.680000000000001e+000	1.279771e-001
1.690000000000001e+000	1.279771e-001
1.700000000000001e+000	1.279771e-001
1.710000000000001e+000	1.279771e-001
1.720000000000001e+000	1.279771e-001
1.730000000000001e+000	1.279771e-001
1.740000000000001e+000	1.279771e-001
1.750000000000001e+000	1.279771e-001
1.760000000000001e+000	1.279771e-001
1.770000000000001e+000	1.279771e-001
1.780000000000001e+000	1.279771e-001
1.790000000000001e+000	1.279771e-001
1.800000000000001e+000	1.279771e-001
1.810000000000001e+000	1.279771e-001
1.820000000000001e+000	1.279771e-001
1.830000000000001e+000	1.279771e-001
1.840000000000001e+000	1.279771e-001
1.850000000000001e+000	1.279771e-001
1.860000000000001e+000	1.279771e-001
1.870000000000001e+000	1.279771e-001
1.880000000000001e+000	1.279771e-001
1.890000000000002e+000	1.279771e-001
1.900000000000002e+000	1.279771e-001
1.910000000000002e+000	1.279771e-001
1.920000000000002e+000	1.279771e-001
1.930000000000002e+000	1.279771e-001
1.940000000000002e+000	1.279771e-001
1.950000000000002e+000	1.279771e-001
1.960000000000002e+000	1.279771e-001
1.970000000000002e+000	1.279771e-001
1.980000000000002e+000	1.279771e-001
1.990000000000002e+000	1.279771e-001
2.000000000000001e+000	1.279771e-001
2.010000000000001e+000	1.279771e-001
2.020000000000001e+000	1.279771e-001
2.030000000000001e+000	1.279771e-001
2.040000000000001e+000	1.279771e-001
2.050000000000000e+000	1.279771e-001
2.060000000000000e+000	1.279771e-001
2.070000000000000e+000	1.279771e-001
2.080000000000000e+000	1.279771e-001
2.089999999999999e+000	1.279771e-001
2.099999999999999e+000	1.279771e-001
2.109999999999999e+000	1.279771e-001
2.119999999999999e+000	1.279771e-001
2.129999999999999e+000	1.279771e-001
2.139999999999998e+000	1.279771e-001
2.149999999999998e+000	1.279771e-001
2.159999999999998e+000	1.279771e-001
2.169999999999998e+000	1.279771e-001
2.179999999999998e+000	1.279771e-001
2.189999999999997e+000	1.279771e-001
2.199999999999997e+000	1.279771e-001
2.209999999999997e+000	1.279771e-001
2.219999999999997e+000	1.279771e-001
2.229999999999996e+000	1.279765e-001
2.239999999999996e+000	1.276912e-001
2.249999999999996e+000	1.246778e-001
2.259999999999996e+000	1.201085e-001
2.269999999999996e+000	1.157937e-001
