v1	V(n004)
6.100000000000003e-001	2.509808e+000
6.200000000000003e-001	2.508602e+000
6.300000000000003e-001	2.507407e+000
6.400000000000004e-001	2.506223e+000
6.500000000000004e-001	2.505051e+000
6.600000000000004e-001	2.503890e+000
6.700000000000004e-001	2.502738e+000
6.800000000000004e-001	2.501597e+000
6.900000000000004e-001	2.500466e+000
7.000000000000004e-001	2.499345e+000
7.100000000000004e-001	2.498232e+000
7.200000000000004e-001	2.497129e+000
7.300000000000004e-001	2.496034e+000
7.400000000000004e-001	2.494948e+000
7.500000000000004e-001	2.493871e+000
7.600000000000005e-001	2.492801e+000
7.700000000000005e-001	2.491739e+000
7.800000000000005e-001	2.490685e+000
7.900000000000005e-001	2.489639e+000
8.000000000000005e-001	2.488599e+000
8.100000000000005e-001	2.487567e+000
8.200000000000005e-001	2.486542e+000
8.300000000000005e-001	2.485523e+000
8.400000000000005e-001	2.484511e+000
8.500000000000005e-001	2.483505e+000
8.600000000000005e-001	2.482506e+000
8.700000000000006e-001	2.481513e+000
8.800000000000006e-001	2.480526e+000
8.900000000000006e-001	2.479545e+000
9.000000000000006e-001	2.478569e+000
9.100000000000006e-001	2.477599e+000
9.200000000000006e-001	2.476635e+000
9.300000000000006e-001	2.475676e+000
9.400000000000006e-001	2.474722e+000
9.500000000000006e-001	2.473773e+000
9.600000000000006e-001	2.472830e+000
9.700000000000006e-001	2.471891e+000
9.800000000000007e-001	2.470957e+000
9.900000000000007e-001	2.470028e+000
1.000000000000001e+000	2.469103e+000
1.010000000000001e+000	2.468184e+000
1.020000000000001e+000	2.467268e+000
1.030000000000001e+000	2.466357e+000
1.040000000000001e+000	2.465450e+000
1.050000000000001e+000	2.464547e+000
1.060000000000001e+000	2.463649e+000
1.070000000000001e+000	2.462754e+000
1.080000000000001e+000	2.461864e+000
1.090000000000001e+000	2.460977e+000
1.100000000000001e+000	2.460094e+000
1.110000000000001e+000	2.459215e+000
1.120000000000001e+000	2.458339e+000
1.130000000000001e+000	2.457468e+000
1.140000000000001e+000	2.456599e+000
1.150000000000001e+000	2.455735e+000
1.160000000000001e+000	2.454874e+000
1.170000000000001e+000	2.454015e+000
1.180000000000001e+000	2.453161e+000
1.190000000000001e+000	2.452310e+000
1.200000000000001e+000	2.451461e+000
1.210000000000001e+000	2.450616e+000
1.220000000000001e+000	2.449775e+000
1.230000000000001e+000	2.448936e+000
1.240000000000001e+000	2.448100e+000
1.250000000000001e+000	2.447267e+000
1.260000000000001e+000	2.446437e+000
1.270000000000001e+000	2.445610e+000
1.280000000000001e+000	2.444786e+000
1.290000000000001e+000	2.443964e+000
1.300000000000001e+000	2.443145e+000
1.310000000000001e+000	2.442329e+000
1.320000000000001e+000	2.441515e+000
1.330000000000001e+000	2.440705e+000
1.340000000000001e+000	2.439896e+000
1.350000000000001e+000	2.439090e+000
1.360000000000001e+000	2.438287e+000
1.370000000000001e+000	2.437486e+000
1.380000000000001e+000	2.436688e+000
1.390000000000001e+000	2.435892e+000
1.400000000000001e+000	2.435098e+000
1.410000000000001e+000	2.434307e+000
1.420000000000001e+000	2.433518e+000
