v1	V(n004)
1.090000000000001e+000	7.760977e+000
1.100000000000001e+000	7.760094e+000
1.110000000000001e+000	7.759215e+000
1.120000000000001e+000	7.758339e+000
1.130000000000001e+000	7.757468e+000
1.140000000000001e+000	7.756599e+000
1.150000000000001e+000	7.755735e+000
1.160000000000001e+000	7.754873e+000
1.170000000000001e+000	7.754015e+000
1.180000000000001e+000	7.753161e+000
1.190000000000001e+000	7.752310e+000
1.200000000000001e+000	7.751462e+000
1.210000000000001e+000	7.750617e+000
1.220000000000001e+000	7.749774e+000
1.230000000000001e+000	7.748936e+000
1.240000000000001e+000	7.748100e+000
1.250000000000001e+000	7.747267e+000
1.260000000000001e+000	7.746437e+000
1.270000000000001e+000	7.745610e+000
1.280000000000001e+000	7.744785e+000
1.290000000000001e+000	7.743964e+000
1.300000000000001e+000	7.743145e+000
1.310000000000001e+000	7.742329e+000
1.320000000000001e+000	7.741516e+000
1.330000000000001e+000	7.740705e+000
1.340000000000001e+000	7.739896e+000
1.350000000000001e+000	7.739090e+000
1.360000000000001e+000	7.738287e+000
1.370000000000001e+000	7.737486e+000
1.380000000000001e+000	7.736688e+000
1.390000000000001e+000	7.735892e+000
1.400000000000001e+000	7.735098e+000
1.410000000000001e+000	7.734307e+000
1.420000000000001e+000	7.733518e+000
1.430000000000001e+000	7.732731e+000
1.440000000000001e+000	7.731946e+000
1.450000000000001e+000	7.731164e+000
1.460000000000001e+000	7.730383e+000
1.470000000000001e+000	7.729606e+000
1.480000000000001e+000	7.728829e+000
1.490000000000001e+000	7.728055e+000
1.500000000000001e+000	7.727283e+000
1.510000000000001e+000	7.726513e+000
1.520000000000001e+000	7.725746e+000
1.530000000000001e+000	7.724980e+000
1.540000000000001e+000	7.724216e+000
1.550000000000001e+000	7.723454e+000
1.560000000000001e+000	7.723273e+000
1.570000000000001e+000	7.723273e+000
1.580000000000001e+000	7.723273e+000
1.590000000000001e+000	7.723273e+000
1.600000000000001e+000	7.723273e+000
1.610000000000001e+000	7.723273e+000
1.620000000000001e+000	7.723273e+000
1.630000000000001e+000	7.723273e+000
1.640000000000001e+000	7.723273e+000
1.650000000000001e+000	7.723273e+000
1.660000000000001e+000	7.723273e+000
1.670000000000001e+000	7.723273e+000
1.680000000000001e+000	7.723273e+000
1.690000000000001e+000	7.723273e+000
1.700000000000001e+000	7.723273e+000
1.710000000000001e+000	7.723273e+000
1.720000000000001e+000	7.723273e+000
1.730000000000001e+000	7.723273e+000
1.740000000000001e+000	7.723273e+000
1.750000000000001e+000	7.723273e+000
1.760000000000001e+000	7.723273e+000
1.770000000000001e+000	7.723273e+000
1.780000000000001e+000	7.723273e+000
1.790000000000001e+000	7.723273e+000
1.800000000000001e+000	7.723273e+000
1.810000000000001e+000	7.723273e+000
1.820000000000001e+000	7.723273e+000
1.830000000000001e+000	7.723273e+000
1.840000000000001e+000	7.723273e+000
1.850000000000001e+000	7.723273e+000
1.860000000000001e+000	7.723273e+000
1.870000000000001e+000	7.723273e+000
1.880000000000001e+000	7.723273e+000
1.890000000000002e+000	7.723273e+000
1.900000000000002e+000	7.723273e+000
1.910000000000002e+000	7.723273e+000
1.920000000000002e+000	7.723273e+000
1.930000000000002e+000	7.723273e+000
1.940000000000002e+000	7.723273e+000
1.950000000000002e+000	7.723273e+000
1.960000000000002e+000	7.723273e+000
1.970000000000002e+000	7.723273e+000
1.980000000000002e+000	7.723273e+000
1.990000000000002e+000	7.723273e+000
2.000000000000001e+000	7.723273e+000
2.010000000000001e+000	7.723273e+000
2.020000000000001e+000	7.723273e+000
2.030000000000001e+000	7.723273e+000
2.040000000000001e+000	7.723273e+000
2.050000000000000e+000	7.723273e+000
2.060000000000000e+000	7.723273e+000
2.070000000000000e+000	7.723273e+000
2.080000000000000e+000	7.723273e+000
2.089999999999999e+000	7.723273e+000
2.099999999999999e+000	7.723273e+000
2.109999999999999e+000	7.723273e+000
2.119999999999999e+000	7.723273e+000
2.129999999999999e+000	7.723273e+000
2.139999999999998e+000	7.723273e+000
2.149999999999998e+000	7.723273e+000
2.159999999999998e+000	7.723273e+000
2.169999999999998e+000	7.723273e+000
2.179999999999998e+000	7.723273e+000
2.189999999999997e+000	7.723273e+000
2.199999999999997e+000	7.723273e+000
2.209999999999997e+000	7.723273e+000
2.219999999999997e+000	7.723273e+000
2.229999999999996e+000	7.723274e+000
2.239999999999996e+000	7.723537e+000
2.249999999999996e+000	7.726330e+000
2.259999999999996e+000	7.730618e+000
2.269999999999996e+000	7.734729e+000
2.279999999999995e+000	7.735013e+000
2.289999999999995e+000	7.735190e+000
2.299999999999995e+000	7.735354e+000
2.309999999999995e+000	7.735519e+000
2.319999999999995e+000	7.735684e+000
2.329999999999994e+000	7.735850e+000
2.339999999999994e+000	7.736015e+000
2.349999999999994e+000	7.736180e+000
2.359999999999994e+000	7.736346e+000
2.369999999999993e+000	7.736511e+000
2.379999999999993e+000	7.736677e+000
2.389999999999993e+000	7.736843e+000
2.399999999999993e+000	7.737008e+000
2.409999999999993e+000	7.737174e+000
2.419999999999992e+000	7.737340e+000
2.429999999999992e+000	7.737506e+000
2.439999999999992e+000	7.737672e+000
2.449999999999992e+000	7.737839e+000
2.459999999999992e+000	7.738005e+000
2.469999999999991e+000	7.738172e+000
2.479999999999991e+000	7.738338e+000
2.489999999999991e+000	7.738505e+000
2.499999999999991e+000	7.738672e+000
2.509999999999991e+000	7.738839e+000
2.519999999999990e+000	7.739006e+000
2.529999999999990e+000	7.739173e+000
2.539999999999990e+000	7.739340e+000
2.549999999999990e+000	7.739507e+000
2.559999999999989e+000	7.739675e+000
2.569999999999989e+000	7.739842e+000
2.579999999999989e+000	7.740010e+000
2.589999999999989e+000	7.740178e+000
2.599999999999989e+000	7.740345e+000
2.609999999999988e+000	7.740513e+000
2.619999999999988e+000	7.740681e+000
2.629999999999988e+000	7.740849e+000
2.639999999999988e+000	7.741018e+000
2.649999999999988e+000	7.741186e+000
2.659999999999987e+000	7.741354e+000
2.669999999999987e+000	7.741523e+000
