v1	I(D1)
1.880000000000001e+000	1.429352e+000
1.890000000000002e+000	1.429352e+000
1.900000000000002e+000	1.429352e+000
1.910000000000002e+000	1.429352e+000
1.920000000000002e+000	1.429352e+000
1.930000000000002e+000	1.429352e+000
1.940000000000002e+000	1.429352e+000
1.950000000000002e+000	1.429352e+000
1.960000000000002e+000	1.429352e+000
1.970000000000002e+000	1.429352e+000
1.980000000000002e+000	1.429352e+000
1.990000000000002e+000	1.429352e+000
2.000000000000001e+000	1.429352e+000
2.010000000000001e+000	1.429352e+000
2.020000000000001e+000	1.429352e+000
2.030000000000001e+000	1.429352e+000
2.040000000000001e+000	1.429352e+000
2.050000000000000e+000	1.429352e+000
2.060000000000000e+000	1.429352e+000
2.070000000000000e+000	1.429352e+000
2.080000000000000e+000	1.429352e+000
2.089999999999999e+000	1.429352e+000
2.099999999999999e+000	1.429352e+000
2.109999999999999e+000	1.429352e+000
2.119999999999999e+000	1.429352e+000
2.129999999999999e+000	1.429352e+000
2.139999999999998e+000	1.429352e+000
2.149999999999998e+000	1.429352e+000
2.159999999999998e+000	1.429352e+000
2.169999999999998e+000	1.429352e+000
2.179999999999998e+000	1.429352e+000
2.189999999999997e+000	1.429352e+000
2.199999999999997e+000	1.429352e+000
2.209999999999997e+000	1.429352e+000
2.219999999999997e+000	1.429352e+000
2.229999999999996e+000	1.429352e+000
2.239999999999996e+000	1.429352e+000
2.249999999999996e+000	1.429352e+000
2.259999999999996e+000	1.429352e+000
2.269999999999996e+000	1.429352e+000
2.279999999999995e+000	1.429352e+000
2.289999999999995e+000	1.429352e+000
2.299999999999995e+000	1.429352e+000
2.309999999999995e+000	1.429352e+000
2.319999999999995e+000	1.429352e+000
2.329999999999994e+000	1.429352e+000
2.339999999999994e+000	1.429352e+000
2.349999999999994e+000	1.429352e+000
2.359999999999994e+000	1.429352e+000
2.369999999999993e+000	1.429352e+000
2.379999999999993e+000	1.429352e+000
2.389999999999993e+000	1.429352e+000
2.399999999999993e+000	1.429352e+000
2.409999999999993e+000	1.429352e+000
2.419999999999992e+000	1.429352e+000
2.429999999999992e+000	1.429352e+000
2.439999999999992e+000	1.429352e+000
2.449999999999992e+000	1.429352e+000
2.459999999999992e+000	1.429352e+000
2.469999999999991e+000	1.429351e+000
2.479999999999991e+000	1.429351e+000
2.489999999999991e+000	1.429351e+000
2.499999999999991e+000	1.429350e+000
2.509999999999991e+000	1.429350e+000
2.519999999999990e+000	1.429349e+000
2.529999999999990e+000	1.429349e+000
2.539999999999990e+000	1.429348e+000
2.549999999999990e+000	1.429347e+000
2.559999999999989e+000	1.429347e+000
2.569999999999989e+000	1.429346e+000
2.579999999999989e+000	1.429345e+000
2.589999999999989e+000	1.429344e+000
2.599999999999989e+000	1.429343e+000
2.609999999999988e+000	1.429342e+000
2.619999999999988e+000	1.429341e+000
2.629999999999988e+000	1.429339e+000
2.639999999999988e+000	1.429338e+000
2.649999999999988e+000	1.429337e+000
2.659999999999987e+000	1.429335e+000
2.669999999999987e+000	1.429334e+000
2.679999999999987e+000	1.429332e+000
