Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
1441.015,2.0369E-05
1444.016,2.0396E-05
1446.996,2.0435E-05
1450.015,2.0382E-05
1453.023,2.0382E-05
1456.035,2.0431E-05
1459.010,2.0398E-05
1461.979,2.0366E-05
1465.366,2.0418E-05
1468.345,2.0414E-05
1471.324,2.0367E-05
1474.338,2.0407E-05
1477.365,2.0433E-05
1480.363,2.0385E-05
1483.335,2.039E-05
1486.347,2.0436E-05
1489.337,2.0406E-05
1492.369,2.0378E-05
1495.331,2.0431E-05
1498.336,2.0426E-05
1501.319,2.0377E-05
1504.684,2.0422E-05
1507.679,2.0438E-05
1510.677,2.039E-05
1513.680,2.0403E-05
1516.677,2.0441E-05
1519.684,2.0404E-05
1523.035,2.0396E-05
1526.318,2.0443E-05
1529.322,2.0406E-05
1532.371,2.0378E-05
1535.351,2.0428E-05
1538.338,2.0418E-05
1541.338,2.0364E-05
1544.344,2.0401E-05
1547.339,2.0422E-05
1550.341,2.0367E-05
1553.336,2.0367E-05
1556.340,2.0415E-05
1559.320,2.0377E-05
1562.341,2.035E-05
1565.341,2.0403E-05
1568.342,2.0398E-05
1571.315,2.0343E-05
1574.336,2.038E-05
1577.653,2.0406E-05
1581.011,2.0348E-05
1584.001,2.0375E-05
1586.998,2.041E-05
1589.998,2.0365E-05
1593.004,2.0361E-05
1595.999,2.0412E-05
1599.011,2.0385E-05
1602.003,2.0351E-05
1605.006,2.0402E-05
1608.038,2.0407E-05
1610.986,2.036E-05
1614.014,2.0387E-05
1616.999,2.0424E-05
1620.008,2.0372E-05
1622.985,2.037E-05
1626.062,2.0419E-05
1628.991,2.0396E-05
1631.968,2.0361E-05
1634.969,2.0412E-05
1637.994,2.0417E-05
1640.996,2.0372E-05
1643.998,2.0397E-05
1647.318,2.0428E-05
1650.334,2.0377E-05
1653.307,2.0381E-05
1656.336,2.0429E-05
1659.308,2.0396E-05
1662.678,2.0375E-05
1665.968,2.043E-05
1668.969,2.0402E-05
1671.967,2.0366E-05
1674.976,2.042E-05
1677.995,2.0422E-05
1680.971,2.0367E-05
1683.965,2.0401E-05
1686.972,2.0433E-05
1689.969,2.0385E-05
1692.963,2.0382E-05
1695.982,2.0431E-05
1698.968,2.0402E-05
1701.967,2.0369E-05
1704.965,2.0418E-05
1707.971,2.0423E-05
1711.672,2.0366E-05
1715.315,2.0422E-05
1718.316,2.0413E-05
1721.306,2.0364E-05
1724.331,2.0402E-05
1727.318,2.0426E-05
1730.303,2.0375E-05
1733.308,2.0381E-05
1736.308,2.0424E-05
1739.308,2.0391E-05
1742.306,2.0362E-05
1745.291,2.0417E-05
1748.308,2.0409E-05
1751.313,2.0364E-05
1754.305,2.0399E-05
1757.306,2.0424E-05
1760.308,2.0375E-05
1763.312,2.038E-05
1766.307,2.0425E-05
1769.306,2.0392E-05
1772.321,2.0362E-05
1775.315,2.0417E-05
1778.329,2.0408E-05
1781.620,2.0354E-05
1784.622,2.0403E-05
1787.620,2.0419E-05
1790.602,2.0366E-05
1793.622,2.0387E-05
1796.620,2.0426E-05
1799.626,2.0387E-05
1802.642,2.0371E-05
1805.626,2.4555E-05
1808.598,3.1901E-05
1811.601,3.7585E-05
1814.629,4.2142E-05
1817.630,4.5824E-05
1820.634,4.8823E-05
1823.634,5.1263E-05
1826.630,5.3221E-05
1930.634,0.00050883
1933.617,0.00050161
